year,spei_Eastern Cape,spei_Free State,spei_Gauteng,spei_KwaZulu-Natal,spei_Limpopo,spei_Mpumalanga,spei_North West,spei_Northern Cape,spei_Western Cape,Total precipitation_Eastern Cape,Total precipitation_Free State,Total precipitation_Gauteng,Total precipitation_KwaZulu-Natal,Total precipitation_Limpopo,Total precipitation_Mpumalanga,Total precipitation_North West,Total precipitation_Northern Cape,Total precipitation_Western Cape,gwsa_Eastern Cape,gwsa_Free State,gwsa_Gauteng,gwsa_KwaZulu-Natal,gwsa_Limpopo,gwsa_Mpumalanga,gwsa_North West,gwsa_Northern Cape,gwsa_Western Cape,spei_status_Eastern Cape,spei_status_Free State,spei_status_Gauteng,spei_status_KwaZulu-Natal,spei_status_Limpopo,spei_status_Mpumalanga,spei_status_North West,spei_status_Northern Cape,spei_status_Western Cape
01/11/05,-0.082171574,-0.4421289,-1.3554595,-0.47848865,-1.6963807,-1.2571659,-1.08075,-0.42775127,-0.56371635,125.5743442,80.01630705,129.3206139,153.888977,67.29121345,137.6245229,65.60860675,32.49656794,43.62191212,2.6005876,-0.21130016,-1.8332677,-1.6674422,-0.332073,-1.3992782,0.60204923,1.3371264,3.3909297,Near normal,Near normal,Moderate drought,Near normal,Severe drought,Moderate drought,Moderate drought,Near normal,Near normal
01/12/05,-0.20504865,-0.7063486,-1.4899127,-0.8033782,-1.1521107,-1.0130132,-0.92022485,-0.20708458,-0.515003,31.37737858,41.95861661,86.74853236,72.3650642,88.18946129,116.4317111,55.66223461,13.68293989,4.265583562,0.99650574,0.04245534,-1.6351447,-0.9622582,0.7763687,-0.45736003,0.39513513,-0.20751715,1.3391696,Near normal,Near normal,Moderate drought,Near normal,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
01/01/06,0.78806186,0.67631435,0.48182812,0.283953,0.2870664,0.7978136,0.2790171,0.40540445,-0.15663405,146.639861,206.1262526,197.2035022,208.4615856,143.4799489,221.3409346,156.6653019,81.40129725,29.05893236,-0.4528429,-1.8328642,-3.5835114,-1.3857819,0.17924172,-2.9693596,-0.8986128,-0.7302762,1.5448802,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/02/06,0.43186215,1.2023237,1.0712771,0.24785912,0.85765624,1.1298722,1.5018784,0.6811995,-1.0507897,132.2302047,178.1732063,180.9158021,163.1653729,131.4997598,176.8943565,199.9194197,97.85665904,22.12334036,-5.0187335,-6.221704,-5.890819,-3.931401,-2.0349088,-6.2470613,-4.4332767,-1.4259773,0.65428835,Near normal,Moderately wet,Moderately wet,Near normal,Near normal,Moderately wet,Very wet,Near normal,Moderate drought
01/03/06,0.7019825,1.6935844,1.4098698,0.8069446,1.2180991,1.6907122,1.7717144,0.707975,-0.8677142,57.32612882,94.30999134,109.9231812,113.0042688,121.5601418,153.8530273,96.38525754,33.14041957,13.32313553,-2.1874313,-4.8601685,-2.9823077,-3.4067264,-3.402645,-7.293838,-3.2979374,0.120185696,3.8734632,Near normal,Very wet,Moderately wet,Near normal,Moderately wet,Very wet,Very wet,Near normal,Near normal
01/04/06,0.19146487,1.3496987,0.756609,0.73321563,0.9463988,1.2469931,1.7728226,0.78994757,-0.54759645,66.12703427,67.03571892,38.44669217,89.65044581,12.15321716,42.11573139,48.14363972,50.748143,37.76832887,-3.4084291,-5.5166745,0.39271978,-3.9788542,-4.5889277,-7.3198977,-1.6161634,-0.9517606,1.7624872,Near normal,Moderately wet,Near normal,Near normal,Near normal,Moderately wet,Very wet,Near normal,Near normal
01/05/06,0.6780072,0.89161676,-0.17335851,0.6848715,0.50641567,0.93030757,0.87065226,1.1927656,1.0153464,50.50359154,31.65369978,15.93481044,31.17294802,6.334864127,11.99388755,15.07923072,39.95367911,71.62834513,-3.5292864,-4.077861,0.5377385,-1.93825,-3.2607076,-4.0172324,-5.6944637,-1.0385424,-0.8962526,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderately wet,Moderately wet
01/06/06,0.9999653,0.4922712,-0.737039,0.64941615,-0.79649734,-0.5887131,0.33319202,1.353733,1.050522,11.37756849,4.463018997,0.628781389,10.34872303,3.632168826,3.351441724,8.56265362,7.014200637,22.58918642,-3.5466,-3.360087,1.6313376,-0.6334905,-2.2521572,-2.8142657,-2.8970952,-0.8788562,-2.787856,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderately wet,Moderately wet
01/07/06,0.8595274,0.04344149,-0.7605138,-0.23470274,-0.75600034,-0.8947483,-0.070172966,1.0355438,1.3750129,20.91163129,6.185405671,1.364552259,4.426380729,0.669402613,1.072204849,0.997849342,9.733971215,52.97321713,-1.4832797,-2.692664,1.5052073,1.5843662,-1.9012876,-1.5832001,-2.6441453,-0.6370412,-2.1295881,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderately wet,Moderately wet
01/08/06,1.5225004,1.2672079,0.7451726,0.7103798,-0.8371395,0.049870055,0.7302908,0.4565008,0.93772674,111.4914984,70.99232559,35.46339976,68.98308766,8.21863337,34.86579679,31.47484891,28.51626519,81.78288943,-8.826562,-2.8985515,3.0976355,2.005465,-0.7093892,-0.15189712,-2.194041,0.5974943,-5.6296873,Very wet,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/09/06,1.6225128,1.026523,0.37429032,0.7354566,-0.7368225,-0.12397729,0.3923891,0.13530645,0.8561672,53.86006944,6.988622841,5.348542007,56.98952283,5.267723999,21.17433242,1.468799155,3.063493923,15.15813589,-6.0055704,-1.9399263,1.5224004,1.1762862,-1.2216324,-0.6140648,-1.9578227,0.95266765,-4.0358243,Very wet,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
